item_id,item,engine_home,state,status,basis,rule_types,source_types,values_found,rule_ids,citations,official_links,snippet
dup.bw.rate,Copy rate — B&W page,fee_profiles:duplication.bw.rate,KS,actual_cost_or_reasonable,ceiling,Calculation/Permission/Requirement,Statute,,KS-0034 KS-0037 KS-0040 KS-0033,K.S.A. 45-219(b) | K.S.A. 45-219(c) | K.S.A. 45-219(c)(1) | K.S.A. 45-219(c)(3),https://ksrevisor.gov/statutes/chapters/ch45/045_002_0019.html,"Fees for copies shall not exceed the actual cost of furnishing the requested records, including the cost of staff time required to make the information available."
dup.bw.rate,Copy rate — B&W page,fee_profiles:duplication.bw.rate,LA,defers_to_city,soft-standard,Permission/Requirement,Statute,,LA-0021 LA-0022 LA-0026,La. R.S. 44:32(C)(1)(a) | La. R.S. 44:32(C)(2)(a),https://www.legis.la.gov/Legis/Law.aspx?d=99691,The custodian may establish and collect reasonable fees for making copies of public records.
dup.bw.rate,Copy rate — B&W page,fee_profiles:duplication.bw.rate,MA,value_present,ceiling,Calculation/Permission,Statute,5 cents,MA-0030 MA-0029,"M.G.L. c. 66, § 10(d) | M.G.L. c. 66, § 10(d)(i)",https://malegislature.gov/Laws/GeneralLaws/PartI/TitleX/Chapter66/Section10,"The fee for standard black-and-white paper copies or printouts shall not exceed 5 cents per page, for both single- and double-sided copies."
dup.bw.rate,Copy rate — B&W page,fee_profiles:duplication.bw.rate,MI,value_present,ceiling,Calculation/Requirement,,10 cents,MI-0038 MI-0033 MI-0049,Mich. Comp. Laws § 15.234(1) | Mich. Comp. Laws § 15.234(1)(d) | Mich. Comp. Laws § 15.234(4),https://www.legislature.mi.gov/Laws/MCL?objectName=MCL-15-234,"The charge for paper copies must not exceed 10 cents per sheet for copies made on 8.5x11 or 8.5x14 paper, calculated as a total cost per sheet."
dup.bw.rate,Copy rate — B&W page,fee_profiles:duplication.bw.rate,MN,value_present,ceiling,Calculation/Permission,,25 cents,MN-0009 MN-0010,"Minn. Stat. § 13.03, subd. 3(c) | Minn. Stat. § 13.04, subd. 3",https://www.revisor.mn.gov/statutes/cite/13.03 https://www.revisor.mn.gov/statutes/cite/13.04,"For requests of 100 or fewer black-and-white letter/legal-size paper copies, actual costs may not be used; the entity may charge no more than 25 cents per page copied."
dup.bw.rate,Copy rate — B&W page,fee_profiles:duplication.bw.rate,MO,value_present,ceiling,Calculation/Requirement,,ten cents,MO-0018 MO-0021,"§ 610.026.1(1), RSMo",https://revisor.mo.gov/main/OneSection.aspx?section=610.026,Fees for copying public records provided in paper form shall not exceed ten cents per page for a paper copy not larger than nine by fourteen inches.
dup.bw.rate,Copy rate — B&W page,fee_profiles:duplication.bw.rate,NC,actual_cost_or_reasonable,ceiling,Requirement,Statute,,NC-0019,N.C. Gen. Stat. § 132-6.2(b),https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_132/GS_132-6.2.html,An agency may not charge a fee for an uncertified copy of a public record that exceeds the actual cost to the agency of making the copy.
dup.bw.rate,Copy rate — B&W page,fee_profiles:duplication.bw.rate,NE,rule_without_value,ceiling,Calculation,Statute,,NE-0019,Neb. Rev. Stat. § 84-712(1),https://nebraskalegislature.gov/laws/statutes.php?statute=84-712,"A custodian may charge a fee for providing copies, but the fee shall not exceed the actual added cost of making the copies available."
dup.bw.rate,Copy rate — B&W page,fee_profiles:duplication.bw.rate,NJ,silent,,,,,,,,
dup.bw.rate,Copy rate — B&W page,fee_profiles:duplication.bw.rate,NV,delegated_to_regulation_or_schedule,ceiling,Definition/Permission,,,NV-0020 NV-0021,Nev. Rev. Stat. § 239.005(1) | Nev. Rev. Stat. § 239.052(1),https://www.leg.state.nv.us/nrs/nrs-239.html,"A governmental entity may charge a fee for a copy, but the fee must not exceed the actual cost to provide the copy unless a specific statute or regulation sets the fee."
dup.bw.rate,Copy rate — B&W page,fee_profiles:duplication.bw.rate,NY,value_present,ceiling,Calculation,Statute,25 cents | twenty-five cents,NY-0024 NY-0025 NY-0030,N.Y. Pub. Off. Law § 87(1)(b)(iii)(1) | N.Y. Pub. Off. Law § 87(1)(c)(iii),https://www.nysenate.gov/legislation/laws/PBO/87,"Fees for paper copies shall not exceed 25 cents per photocopy not exceeding 9 by 14 inches, unless a different fee is prescribed by statute."
dup.bw.rate,Copy rate — B&W page,fee_profiles:duplication.bw.rate,OH,actual_cost_or_reasonable,ceiling,Calculation,Statute,,OH-0018,Ohio Rev. Code § 149.43(B)(1),https://codes.ohio.gov/ohio-revised-code/section-149.43,Copies of public records shall be made available 'at cost' — the office may not charge more than its actual cost of making the copy.
dup.bw.rate,Copy rate — B&W page,fee_profiles:duplication.bw.rate,OK,value_present,ceiling,Calculation/Permission/Requirement,,$0.25 | twenty-five cents,OK-0017 OK-0016 OK-0021 OK-0024,"Okla. Stat. tit. 51, § 24A.5(4)",https://www.oscn.net/applications/oscn/deliverdocument.asp?citeid=80292,The record copying fee may not exceed twenty-five cents ($0.25) per page for records 8.5 by 14 inches or smaller.
dup.bw.rate,Copy rate — B&W page,fee_profiles:duplication.bw.rate,OR,actual_cost_or_reasonable,soft-standard,Permission,,,OR-0020,Or. Rev. Stat. § 192.324(4)(a),https://www.oregonlegislature.gov/bills_laws/ors/ors192.html,"A public body may establish fees reasonably calculated to reimburse it for its actual cost of making public records available, including costs for summarizing, compiling or tailoring the records in organization or media "
dup.bw.rate,Copy rate — B&W page,fee_profiles:duplication.bw.rate,PA,value_present,ceiling,Calculation,Official Guidance/Statute,$0.20 | $0.25 | 14 page,PA-0040 PA-0039,"65 P.S. § 67.1307(b) | OOR Official RTKL Fee Schedule (adopted Dec. 30, 2024), issued under 65 P.S. § 67.1307(b)",https://www.legis.state.pa.us/WU01/LI/LI/US/HTM/2008/0/0003..HTM https://www.openrecords.pa.gov/Documents/RTKL/Official_RTKL_Fee_Schedule.pdf,"Under the OOR Official RTKL Fee Schedule, an agency may charge up to $0.25 per copy for black-and-white photocopies (8.5x11 or 8.5x14), reduced to $0.20 per copy beyond the first 1,000 copies."
dup.bw.rate,Copy rate — B&W page,fee_profiles:duplication.bw.rate,SC,rule_without_value,ceiling,Requirement,,,SC-0009 SC-0014 SC-0010 SC-0017,S.C. Code Ann. § 30-4-30(B),https://www.scstatehouse.gov/code/t30c004.php,Fees for copies may not exceed the prevailing commercial rate for the producing of copies.
dup.bw.rate,Copy rate — B&W page,fee_profiles:duplication.bw.rate,TN,value_present,ceiling,Calculation/Permission/Requirement,Official Guidance/Statute,$0.15 | $0.50 | 15 cents | 50 cents,TN-0029 TN-0019 TN-0031 TN-0050,OORC Schedule of Reasonable Charges § II.A | OORC Schedule of Reasonable Charges § II.C | OORC Schedule of Reasonable Charges § III.A | Tenn. Code Ann. § 10-7-503(a)(7)(B),https://www.comptroller.tn.gov/content/dam/cot/orc/documents/oorc/policies-and-guidelines/ScheduleofReasonableCharges.pdf https://www.mtas.tennessee.edu/reference/tennessee-public-records-statutes,"For each standard 8.5x11 or 8.5x14 black-and-white copy produced, a records custodian may assess a per-page charge of up to 15 cents ($0.15)."
dup.bw.rate,Copy rate — B&W page,fee_profiles:duplication.bw.rate,TX,value_present+delegation,soft-standard,Calculation,Statute,25%,TX-0025 TX-0027,"Tex. Gov't Code § 552.261(a) | Tex. Gov't Code § 552.262(a), (c)",https://statutes.capitol.texas.gov/Docs/GV/htm/GV.552.htm#552.261 https://statutes.capitol.texas.gov/Docs/GV/htm/GV.552.htm#552.262,"The copy charge must be an amount that reasonably includes all costs related to reproducing the information, including materials, labor, and overhead."
dup.bw.rate,Copy rate — B&W page,fee_profiles:duplication.bw.rate,UT,defers_to_city,ceiling,Calculation/Permission/Requirement,Statute,,UT-0028 UT-0029 UT-0030,Utah Code § 63G-2-203(1) | Utah Code § 63G-2-203(2)(a) | Utah Code § 63G-2-203(3)(c),https://le.utah.gov/xcode/Title63G/Chapter2/63G-2-S203.html,An entity may charge a reasonable fee to cover its actual cost of providing a record; the fee must be approved by the entity's executive officer.
dup.bw.rate,Copy rate — B&W page,fee_profiles:duplication.bw.rate,VA,actual_cost_or_reasonable,ceiling,Permission/Requirement,,,VA-0021 VA-0022 VA-0024,Va. Code § 2.2-3704(F),https://law.lis.virginia.gov/vacode/title2.2/chapter37/section2.2-3704/,"A public body may make reasonable charges not to exceed its actual cost incurred in accessing, duplicating, supplying, or searching for the requested records."
dup.bw.rate,Copy rate — B&W page,fee_profiles:duplication.bw.rate,WA,value_present,ceiling,Calculation/Permission/Prohibition,,Fifteen cents | Ten cents | fifteen cents | ten cents,WA-0021 WA-0022 WA-0020 WA-0027 WA-0028 WA-0025,RCW 42.56.070(7)(b) | RCW 42.56.070(7); RCW 42.56.120(2)(a) | RCW 42.56.120(1) | RCW 42.56.120(2)(b)(i),https://app.leg.wa.gov/RCW/default.aspx?cite=42.56.070 https://app.leg.wa.gov/RCW/default.aspx?cite=42.56.120,"Absent a published actual-cost calculation, the agency may charge up to fifteen cents per page for photocopies or printed copies of electronic records."
dup.bw.rate,Copy rate — B&W page,fee_profiles:duplication.bw.rate,WI,value_present,ceiling,Permission,Statute,$50,WI-0035 WI-0037 WI-0040,Wis. Stat. § 19.35(3)(a) | Wis. Stat. § 19.35(3)(c) | Wis. Stat. § 19.35(3)(g),https://docs.legis.wisconsin.gov/statutes/statutes/19/ii/35,"An authority may impose a fee for a copy of a record not exceeding the actual, necessary and direct cost of reproduction and transcription, unless a fee is otherwise specifically established or authorized by law."
dup.color.rate,Copy rate — color page,fee_profiles:duplication.color.rate,AL,silent,,,,,,,,
dup.color.rate,Copy rate — color page,fee_profiles:duplication.color.rate,AZ,rule_without_value,soft-standard,Permission,,,AZ-0018,Ariz. Rev. Stat. § 39-121.01(D)(1),https://www.azleg.gov/ars/39/00121-01.htm,"The custodian may charge a fee for furnishing copies, printouts or photographs if the facilities are available; the statute sets no rate."
dup.color.rate,Copy rate — color page,fee_profiles:duplication.color.rate,CA,silent,,,,,,,,
dup.color.rate,Copy rate — color page,fee_profiles:duplication.color.rate,CO,value_present,ceiling,Permission,Statute,twenty-five cents,CO-0016 CO-0017,C.R.S. § 24-72-205(5)(a),https://leg.colorado.gov/colorado-revised-statutes,The custodian may charge a fee not to exceed twenty-five cents per standard page for a copy of a public record.
dup.color.rate,Copy rate — color page,fee_profiles:duplication.color.rate,CT,value_present,ceiling,Calculation,,twenty-five cents,CT-0015 CT-0016 CT-0017,Conn. Gen. Stat. § 1-212(a) | Conn. Gen. Stat. § 1-212(a)(A) | Conn. Gen. Stat. § 1-212(a)(B),https://www.cga.ct.gov/current/pub/chap_014.htm,"For all public agencies other than state offices/agencies, the fee for a copy of a public record shall not exceed fifty cents per page."
dup.color.rate,Copy rate — color page,fee_profiles:duplication.color.rate,FL,value_present,ceiling,Calculation,,15 cents | 5 cents,FL-0020 FL-0021 FL-0022 FL-0026 FL-0027,"§ 119.07(4)(a)1., Fla. Stat. | § 119.07(4)(a)2., Fla. Stat. | § 119.07(4)(a)3., Fla. Stat. | § 119.07(4)(e)1., Fla. Stat.",https://www.flsenate.gov/Laws/Statutes/2024/119.07,"For duplicated copies of records not larger than 14 by 8.5 inches, the agency may charge up to 15 cents per one-sided copy."
dup.color.rate,Copy rate — color page,fee_profiles:duplication.color.rate,GA,value_present,ceiling,Requirement,,10 cents,GA-0018,O.C.G.A. § 50-18-71(c)(2),https://georgialibraries.org/librarylaws/Georgia%20Open%20Records%20Act%20(O.C.G.A.%20%C2%A7%C2%A7%2050-18-70%20through%2050-18-74).pdf,"In addition to labor charges, an agency may charge for copying, not to exceed 10 cents per page for letter or legal size documents, or the actual cost of producing the copy for other document types."
dup.color.rate,Copy rate — color page,fee_profiles:duplication.color.rate,ID,silent,,,,,,,,
dup.color.rate,Copy rate — color page,fee_profiles:duplication.color.rate,IL,value_present,ceiling,Calculation,,15 cents,IL-0028 IL-0029,5 ILCS 140/6(b),https://www.ilga.gov/documents/legislation/ilcs/documents/000501400K6.htm,"The fee for black-and-white, letter- or legal-sized copies (after the free 50) may not exceed 15 cents per page."
dup.color.rate,Copy rate — color page,fee_profiles:duplication.color.rate,IN,value_present,ceiling,Calculation,,$0.10 | $0.25 | ten cents | twenty-five cents,IN-0015,Ind. Code § 5-14-3-8(b)-(d),https://iga.in.gov/laws/2025/ic/titles/5#5-14-3-8,"The fee for copying documents may not exceed the greater of ten cents ($0.10) per non-color page or twenty-five cents ($0.25) per color page, or the agency's actual cost."
dup.color.rate,Copy rate — color page,fee_profiles:duplication.color.rate,KS,silent,,,,,,,,
dup.color.rate,Copy rate — color page,fee_profiles:duplication.color.rate,LA,defers_to_city,soft-standard,Permission,Statute,,LA-0021,La. R.S. 44:32(C)(1)(a),https://www.legis.la.gov/Legis/Law.aspx?d=99691,The custodian may establish and collect reasonable fees for making copies of public records.
dup.color.rate,Copy rate — color page,fee_profiles:duplication.color.rate,MA,value_present,ceiling,Calculation,Statute,5 cents,MA-0030,"M.G.L. c. 66, § 10(d)(i)",https://malegislature.gov/Laws/GeneralLaws/PartI/TitleX/Chapter66/Section10,"The fee for standard black-and-white paper copies or printouts shall not exceed 5 cents per page, for both single- and double-sided copies."
dup.color.rate,Copy rate — color page,fee_profiles:duplication.color.rate,MI,value_present,ceiling,Calculation,,10 cents,MI-0038,Mich. Comp. Laws § 15.234(1)(d),https://www.legislature.mi.gov/Laws/MCL?objectName=MCL-15-234,"The charge for paper copies must not exceed 10 cents per sheet for copies made on 8.5x11 or 8.5x14 paper, calculated as a total cost per sheet."
dup.color.rate,Copy rate — color page,fee_profiles:duplication.color.rate,MN,value_present,ceiling,Calculation/Permission,,25 cents,MN-0009 MN-0010,"Minn. Stat. § 13.03, subd. 3(c) | Minn. Stat. § 13.04, subd. 3",https://www.revisor.mn.gov/statutes/cite/13.03 https://www.revisor.mn.gov/statutes/cite/13.04,"For requests of 100 or fewer black-and-white letter/legal-size paper copies, actual costs may not be used; the entity may charge no more than 25 cents per page copied."
dup.color.rate,Copy rate — color page,fee_profiles:duplication.color.rate,MO,value_present,ceiling,Calculation,,ten cents,MO-0018,"§ 610.026.1(1), RSMo",https://revisor.mo.gov/main/OneSection.aspx?section=610.026,Fees for copying public records provided in paper form shall not exceed ten cents per page for a paper copy not larger than nine by fourteen inches.
dup.color.rate,Copy rate — color page,fee_profiles:duplication.color.rate,NC,silent,,,,,,,,
dup.color.rate,Copy rate — color page,fee_profiles:duplication.color.rate,NE,silent,,,,,,,,
dup.color.rate,Copy rate — color page,fee_profiles:duplication.color.rate,NJ,silent,,,,,,,,
dup.color.rate,Copy rate — color page,fee_profiles:duplication.color.rate,NV,value_present+delegation,ceiling,Calculation/Permission,,50 cents,NV-0020 NV-0024 NV-0025,Nev. Rev. Stat. § 239.052(1) | Nev. Rev. Stat. § 239.052(4) | Nev. Rev. Stat. § 239.053(1),https://www.leg.state.nv.us/nrs/nrs-239.html,"A governmental entity may charge a fee for a copy, but the fee must not exceed the actual cost to provide the copy unless a specific statute or regulation sets the fee."
dup.color.rate,Copy rate — color page,fee_profiles:duplication.color.rate,NY,value_present,ceiling,Calculation,Statute,25 cents | twenty-five cents,NY-0024,N.Y. Pub. Off. Law § 87(1)(b)(iii)(1),https://www.nysenate.gov/legislation/laws/PBO/87,"Fees for paper copies shall not exceed 25 cents per photocopy not exceeding 9 by 14 inches, unless a different fee is prescribed by statute."
dup.color.rate,Copy rate — color page,fee_profiles:duplication.color.rate,OH,value_present,ceiling,Calculation,Statute,$75 | $750 | five dollars,OH-0018 OH-0019,Ohio Rev. Code § 149.43(B)(1),https://codes.ohio.gov/ohio-revised-code/section-149.43,Copies of public records shall be made available 'at cost' — the office may not charge more than its actual cost of making the copy.
dup.color.rate,Copy rate — color page,fee_profiles:duplication.color.rate,OK,value_present,ceiling,Calculation,,$0.25 | twenty-five cents,OK-0017,"Okla. Stat. tit. 51, § 24A.5(4)",https://www.oscn.net/applications/oscn/deliverdocument.asp?citeid=80292,The record copying fee may not exceed twenty-five cents ($0.25) per page for records 8.5 by 14 inches or smaller.
dup.color.rate,Copy rate — color page,fee_profiles:duplication.color.rate,OR,silent,,,,,,,,
dup.color.rate,Copy rate — color page,fee_profiles:duplication.color.rate,PA,value_present,ceiling,Calculation,Official Guidance,$0.20 | $0.25 | 14 page,PA-0040,"OOR Official RTKL Fee Schedule (adopted Dec. 30, 2024), issued under 65 P.S. § 67.1307(b)",https://www.openrecords.pa.gov/Documents/RTKL/Official_RTKL_Fee_Schedule.pdf,"Under the OOR Official RTKL Fee Schedule, an agency may charge up to $0.25 per copy for black-and-white photocopies (8.5x11 or 8.5x14), reduced to $0.20 per copy beyond the first 1,000 copies."
dup.color.rate,Copy rate — color page,fee_profiles:duplication.color.rate,SC,rule_without_value,ceiling,Requirement,,,SC-0009,S.C. Code Ann. § 30-4-30(B),https://www.scstatehouse.gov/code/t30c004.php,Fees for copies may not exceed the prevailing commercial rate for the producing of copies.
dup.color.rate,Copy rate — color page,fee_profiles:duplication.color.rate,TN,value_present,ceiling,Calculation,Official Guidance,$0.15 | $0.50 | 15 cents | 50 cents,TN-0029 TN-0030,OORC Schedule of Reasonable Charges § II.A,https://www.comptroller.tn.gov/content/dam/cot/orc/documents/oorc/policies-and-guidelines/ScheduleofReasonableCharges.pdf,"For each standard 8.5x11 or 8.5x14 black-and-white copy produced, a records custodian may assess a per-page charge of up to 15 cents ($0.15)."
dup.color.rate,Copy rate — color page,fee_profiles:duplication.color.rate,TX,rule_without_value,soft-standard,Calculation,Statute,,TX-0025,Tex. Gov't Code § 552.261(a),https://statutes.capitol.texas.gov/Docs/GV/htm/GV.552.htm#552.261,"The copy charge must be an amount that reasonably includes all costs related to reproducing the information, including materials, labor, and overhead."
dup.color.rate,Copy rate — color page,fee_profiles:duplication.color.rate,UT,silent,,,,,,,,
dup.color.rate,Copy rate — color page,fee_profiles:duplication.color.rate,VA,silent,,,,,,,,
dup.color.rate,Copy rate — color page,fee_profiles:duplication.color.rate,WA,value_present,ceiling,Calculation,,Fifteen cents | Ten cents | fifteen cents | ten cents,WA-0021 WA-0022,RCW 42.56.120(2)(b)(i) | RCW 42.56.120(2)(b)(ii),https://app.leg.wa.gov/RCW/default.aspx?cite=42.56.120,"Absent a published actual-cost calculation, the agency may charge up to fifteen cents per page for photocopies or printed copies of electronic records."
dup.color.rate,Copy rate — color page,fee_profiles:duplication.color.rate,WI,actual_cost_or_reasonable,ceiling,Permission,Statute,,WI-0035 WI-0036,Wis. Stat. § 19.35(3)(a) | Wis. Stat. § 19.35(3)(b),https://docs.legis.wisconsin.gov/statutes/statutes/19/ii/35,"An authority may impose a fee for a copy of a record not exceeding the actual, necessary and direct cost of reproduction and transcription, unless a fee is otherwise specifically established or authorized by law."
dup.oversized.rate,Copy rate — oversized / nonstandard page,fee_profiles:duplication.oversized.rate,AL,silent,,,,,,,,
dup.oversized.rate,Copy rate — oversized / nonstandard page,fee_profiles:duplication.oversized.rate,AZ,silent,,,,,,,,
dup.oversized.rate,Copy rate — oversized / nonstandard page,fee_profiles:duplication.oversized.rate,CA,silent,,,,,,,,
dup.oversized.rate,Copy rate — oversized / nonstandard page,fee_profiles:duplication.oversized.rate,CO,actual_cost_or_reasonable,ceiling,Permission,Statute,,CO-0017,C.R.S. § 24-72-205(5)(a),https://leg.colorado.gov/colorado-revised-statutes,"For a copy, printout, or photograph in a format other than a standard page, the custodian may charge a fee not to exceed the actual cost of providing it."
dup.oversized.rate,Copy rate — oversized / nonstandard page,fee_profiles:duplication.oversized.rate,CT,rule_without_value,ceiling,Calculation,,,CT-0017,Conn. Gen. Stat. § 1-212(a),https://www.cga.ct.gov/current/pub/chap_014.htm,"Where a copy requires a transcription, or a person requests a transcription of a public record, the transcription fee shall not exceed the agency's cost."
dup.oversized.rate,Copy rate — oversized / nonstandard page,fee_profiles:duplication.oversized.rate,FL,actual_cost_or_reasonable,fixed,Calculation,,,FL-0022 FL-0026 FL-0027,"§ 119.07(4)(a)3., Fla. Stat. | § 119.07(4)(e)1., Fla. Stat. | § 119.07(4)(e)2., Fla. Stat.",https://www.flsenate.gov/Laws/Statutes/2024/119.07,"For all copies other than standard-size paper copies, the agency charges the actual cost of duplication of the public record."
dup.oversized.rate,Copy rate — oversized / nonstandard page,fee_profiles:duplication.oversized.rate,GA,silent,,,,,,,,
dup.oversized.rate,Copy rate — oversized / nonstandard page,fee_profiles:duplication.oversized.rate,ID,silent,,,,,,,,
dup.oversized.rate,Copy rate — oversized / nonstandard page,fee_profiles:duplication.oversized.rate,IL,actual_cost_or_reasonable,ceiling,Calculation,,,IL-0029,5 ILCS 140/6(b),https://www.ilga.gov/documents/legislation/ilcs/documents/000501400K6.htm,"For copies in color or in a size other than letter/legal, a public body may not charge more than its actual cost of reproduction."
dup.oversized.rate,Copy rate — oversized / nonstandard page,fee_profiles:duplication.oversized.rate,IN,silent,,,,,,,,
dup.oversized.rate,Copy rate — oversized / nonstandard page,fee_profiles:duplication.oversized.rate,KS,silent,,,,,,,,
dup.oversized.rate,Copy rate — oversized / nonstandard page,fee_profiles:duplication.oversized.rate,LA,silent,,,,,,,,
dup.oversized.rate,Copy rate — oversized / nonstandard page,fee_profiles:duplication.oversized.rate,MA,silent,,,,,,,,
dup.oversized.rate,Copy rate — oversized / nonstandard page,fee_profiles:duplication.oversized.rate,MI,silent,,,,,,,,
dup.oversized.rate,Copy rate — oversized / nonstandard page,fee_profiles:duplication.oversized.rate,MN,silent,,,,,,,,
dup.oversized.rate,Copy rate — oversized / nonstandard page,fee_profiles:duplication.oversized.rate,MO,silent,,,,,,,,
dup.oversized.rate,Copy rate — oversized / nonstandard page,fee_profiles:duplication.oversized.rate,NC,silent,,,,,,,,
dup.oversized.rate,Copy rate — oversized / nonstandard page,fee_profiles:duplication.oversized.rate,NE,silent,,,,,,,,
dup.oversized.rate,Copy rate — oversized / nonstandard page,fee_profiles:duplication.oversized.rate,NJ,silent,,,,,,,,
dup.oversized.rate,Copy rate — oversized / nonstandard page,fee_profiles:duplication.oversized.rate,NV,value_present,ceiling,Calculation,,50 cents,NV-0024 NV-0025,Nev. Rev. Stat. § 239.052(4) | Nev. Rev. Stat. § 239.053(1),https://www.leg.state.nv.us/nrs/nrs-239.html,The fee for a copy of a record in the custody of a governmental law library must not exceed 50 cents per page.
dup.oversized.rate,Copy rate — oversized / nonstandard page,fee_profiles:duplication.oversized.rate,NY,silent,,,,,,,,
dup.oversized.rate,Copy rate — oversized / nonstandard page,fee_profiles:duplication.oversized.rate,OH,value_present,ceiling,Calculation,Statute,$75 | $750 | five dollars,OH-0019,Ohio Rev. Code § 149.43(B)(1),https://codes.ohio.gov/ohio-revised-code/section-149.43,"A law enforcement agency or prosecuting attorney's office may charge the actual cost of preparing a video record, not to exceed $75 per hour of video produced and not to exceed $750 total."
dup.oversized.rate,Copy rate — oversized / nonstandard page,fee_profiles:duplication.oversized.rate,OK,silent,,,,,,,,
dup.oversized.rate,Copy rate — oversized / nonstandard page,fee_profiles:duplication.oversized.rate,OR,silent,,,,,,,,
dup.oversized.rate,Copy rate — oversized / nonstandard page,fee_profiles:duplication.oversized.rate,PA,silent,,,,,,,,
dup.oversized.rate,Copy rate — oversized / nonstandard page,fee_profiles:duplication.oversized.rate,SC,silent,,,,,,,,
dup.oversized.rate,Copy rate — oversized / nonstandard page,fee_profiles:duplication.oversized.rate,TN,value_present,ceiling,Calculation,Official Guidance,$0.50 | 50 cents,TN-0030,OORC Schedule of Reasonable Charges § II.A,https://www.comptroller.tn.gov/content/dam/cot/orc/documents/oorc/policies-and-guidelines/ScheduleofReasonableCharges.pdf,"For each standard 8.5x11 or 8.5x14 color copy produced, a records custodian may assess a per-page charge of up to 50 cents ($0.50)."
